鄉鎮市區,交易筆棟數_土地,交易筆棟數_建物,交易筆棟數_車位,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,有無附傢俱,年份(+1911),月份,建築完成年,建築完成月,成交時屋齡, 總價.元. ,單價.元.坪,土地移轉總面積.坪,建物移轉總面積.坪,車位移轉總面積.坪,交易標的橫坐標,交易標的縱坐標,Longitude,Latitude
內湖區,1,1,0,二層,7,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,3,2,2,有,有,NA,2012,7,1983,11,29,15680000,490383.4711,10.33032851,31.97410612,0,306954,2775168,121.56461,25.08362
中山區,1,1,0,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,1,1,有,有,NA,2012,7,2007,12,5,8500000,611355.3719,2.087240607,13.90283744,0,303588,2772692,121.53115,25.06139
內湖區,3,1,0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,7,1981,5,31,10720000,345196.6942,8.860185129,31.05451025,0,308877,2775851,121.5837,25.08971
內湖區,1,1,1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2,2,1,有,有,NA,2012,6,2004,12,8,26000000,700614.876,4.73107871,37.110533,10.12462944,310119,2774841,121.59597,25.08055
中正區,2,0,0,0,NA,其他,NA,NA,0,0,0,有,無,NA,2012,8,NA,NA,NA,417634000,3182737.19,131.2178595,0,0,303487,2769843,121.53004,25.03567
文山區,3,1,1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,1,1,有,無,NA,2010,9,2012,6,NA,15300000,522085.9504,5.753524109,29.09431908,2.661988021,305022,2765101,121.54506,24.99281
文山區,1,1,1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,2,1,有,有,NA,2012,7,2005,12,7,16500000,487252.8926,6.149797326,33.86169762,8.966059653,304925,2766034,121.54413,25.00124
文山區,1,1,0,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,1,1,有,有,NA,2012,7,2010,8,2,18000000,342935.5372,11.86399661,52.48653881,0,308594,2763923,121.58039,24.98204
中正區,1,1,0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0,0,0,無,有,NA,2012,5,2011,7,1,8380000,690370.2479,3.82660778,12.13927037,0,302240,2769374,121.51766,25.03148
文山區,1,1,0,二層,4,公寓(5樓含以下無電梯),NA,鋼筋混凝土造,1,1,1,有,無,NA,2012,7,NA,NA,NA,5250000,379021.4876,7.005868474,13.85141267,0,307407,2764784,121.56867,24.98986
文山區,2,1,1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,4,2,2,有,有,NA,2012,7,2010,5,2,29000000,478271.0744,13.2010406,60.63282715,0,305911,2766192,121.55391,25.00263
文山區,1,1,0,一層，騎樓,4,店面(店鋪),見其他登記事項,加強磚造,0,1,1,有,無,NA,2012,6,NA,NA,NA,17850000,815593.3884,7.713715288,21.88577651,0,304433,2765375,121.53923,24.9953
文山區,1,1,0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,1,有,無,NA,2012,7,1980,10,32,8930000,370072.7273,7.595740819,24.13031641,0,305709,2766428,121.55192,25.00476
北投區,2,1,0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,2,1,有,無,NA,2012,7,2012,6,0,8000000,329732.2314,5.892673483,24.26341581,0,299282,2781658,121.48879,25.14248
北投區,1,1,0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1,1,1,有,無,NA,2012,6,1978,10,34,4200000,298267.7686,5.823098796,14.08131163,0,297038,2778995,121.46644,25.11851
南港區,1,1,0,十八層,18,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,3,2,1,有,有,NA,2012,6,1998,5,14,3696914,95500.82645,6.39784621,38.7107508,0,309751,2770272,121.59213,25.03931
南港區,1,1,1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,3,2,1,有,有,NA,2012,7,2007,12,5,18360000,538978.5124,13.53076411,34.06437171,6.79109444,311986,2772910,121.61439,25.06304
北投區,2,1,1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,1,2,有,無,NA,2012,7,2012,6,0,11530000,327652.8926,7.462641418,37.96357916,7.901264444,299269,2781671,121.48866,25.1426
北投區,2,1,1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,1,2,有,無,NA,2012,7,2012,6,0,11820000,345338.843,7.141992861,36.62653518,7.901264444,299275,2781665,121.48872,25.14254
北投區,1,3,1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,1,1,有,有,NA,2012,7,1984,12,28,15650000,509900.8264,5.348175933,30.69151189,0,301591,2778403,121.51157,25.11302
北投區,1,1,0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,2,2,1,有,無,NA,2012,7,1984,10,28,8250000,274208.2645,8.621211205,30.08651461,0,299457,2781659,121.49053,25.14248
內湖區,2,1,0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,1,1,有,無,NA,2012,7,1983,8,29,11160000,420955.3719,7.834714744,26.5109807,0,309802,2774878,121.59283,25.08089
內湖區,2,1,0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,2,2,1,有,無,NA,2012,7,1980,8,32,13600000,541150.4132,7.350716922,25.13158691,0,307539,2774986,121.5704,25.08196
內湖區,1,2,1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,2,2,有,有,NA,2012,7,1995,4,17,23100000,519656.1983,8.947909734,44.45217497,0,308237,2775118,121.57733,25.08312
松山區,1,1,0,十三層,14,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,3,2,2,有,無,NA,2012,7,1985,4,27,22380000,571709.0909,7.353741908,39.14634884,0,305027,2772825,121.54541,25.06254
內湖區,2,1,0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,1,1,有,無,NA,2012,8,1985,9,27,13000000,377100.8264,9.555931998,34.47274487,0,311767,2773464,121.61225,25.06805
